name,uni,coll,header,image,p,d,a,n,pic
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n436182,"Entomology, Plant Pathology and Nematology",http://vivo.nkn.uidaho.edu/individual/n129155,"Duellman, Kasia M",/file/n46698/thumbnail_1200x1200-kasia-kinzer.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n39442,Agriculture Economics & Rural Sociology,http://vivo.nkn.uidaho.edu/individual/n175569,"Eborn, Ben ",/file/n89530/thumbnail_Ben-Eborn-bw.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n436182,"Entomology, Plant Pathology and Nematology",http://vivo.nkn.uidaho.edu/individual/n16666,"Eigenbrode, Sanford",/file/n199975/thumbnail_1200x1200-sanford-eigenbrode.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n23012,Animal & Veterinary Science,http://vivo.nkn.uidaho.edu/individual/n47074,"Ellison, Melinda T",/file/n203951/thumbnail_1200x1200-melinda-ellison.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n23012,Animal & Veterinary Science,http://vivo.nkn.uidaho.edu/individual/pid48657,"England, J J",/file/n117643/thumbnail_James-England.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n23012,Animal & Veterinary Science,http://vivo.nkn.uidaho.edu/individual/pid48657,"England, James J",/file/n117643/thumbnail_James-England.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n55529,Family & Consumer Science,http://vivo.nkn.uidaho.edu/individual/n61912,"Evenson, Sandra L",/file/n409385/thumbnail_sandra-evenson.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n62022,Agricultural and Extension Education,http://vivo.nkn.uidaho.edu/individual/n57885,"Falk, Jeremy ",/file/n174546/thumbnail_1200x1200-jeremy-falk.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n166226,Plant Sciences,http://vivo.nkn.uidaho.edu/individual/n27083,"Fallahi, Esmaeil",/file/n105930/thumbnail_1200x1200-esmaeil-fallahi.jpg
Profile,University of Idaho,http://vivo.nkn.uidaho.edu/individual/n13085,College of Agricultural & Life Sciences,/file/n146740/thumbnail_03CALS-sq.jpg,http://vivo.nkn.uidaho.edu/individual/n39442,Agriculture Economics & Rural Sociology,http://vivo.nkn.uidaho.edu/individual/n61206,"Foltz, John",/file/n104978/thumbnail_agecon_foltz_196.jpg
